Sqrt of 2.0 is 1.414, time taken 3.173 seconds
Sqrt of 4.0 is 2.000, time taken 0.293 seconds
Sqrt of 6.0 is 2.449, time taken 0.257 seconds
Sqrt of 8.0 is 2.828, time taken 0.250 seconds
Sqrt of 10.0 is 3.162, time taken 0.264 seconds
Sqrt of 12.0 is 3.464, time taken 0.275 seconds
Sqrt of 14.0 is 3.742, time taken 0.254 seconds
Sqrt of 16.0 is 4.000, time taken 0.273 seconds
Sqrt of 18.0 is 4.243, time taken 0.252 seconds
Sqrt of 20.0 is 4.472, time taken 0.270 seconds
Sqrt of 22.0 is 4.690, time taken 0.268 seconds
Sqrt of 24.0 is 4.899, time taken 0.231 seconds
Sqrt of 26.0 is 5.099, time taken 0.270 seconds
Sqrt of 28.0 is 5.292, time taken 0.286 seconds
Sqrt of 30.0 is 5.477, time taken 0.264 seconds
Sqrt of 32.0 is 5.657, time taken 0.260 seconds
Sqrt of 34.0 is 5.831, time taken 0.243 seconds
Sqrt of 36.0 is 6.000, time taken 0.271 seconds
Sqrt of 38.0 is 6.164, time taken 0.256 seconds
Sqrt of 40.0 is 6.325, time taken 0.242 seconds
Sqrt of 42.0 is 6.481, time taken 0.255 seconds
Sqrt of 44.0 is 6.633, time taken 0.290 seconds
Sqrt of 46.0 is 6.782, time taken 0.223 seconds
Sqrt of 48.0 is 6.928, time taken 0.250 seconds
Sqrt of 50.0 is 7.071, time taken 0.268 seconds
Sqrt of 52.0 is 7.211, time taken 0.262 seconds
Sqrt of 54.0 is 7.348, time taken 0.281 seconds
Sqrt of 56.0 is 7.483, time taken 0.268 seconds
Sqrt of 58.0 is 7.616, time taken 0.278 seconds
Sqrt of 60.0 is 7.746, time taken 0.246 seconds
Sqrt of 62.0 is 7.874, time taken 0.264 seconds
Sqrt of 64.0 is 8.000, time taken 0.266 seconds
Sqrt of 66.0 is 8.124, time taken 0.261 seconds
Sqrt of 68.0 is 8.246, time taken 0.252 seconds
Sqrt of 70.0 is 8.367, time taken 0.249 seconds
Sqrt of 72.0 is 8.485, time taken 0.253 seconds
Sqrt of 74.0 is 8.602, time taken 0.242 seconds
Sqrt of 76.0 is 8.718, time taken 0.242 seconds
Sqrt of 78.0 is 8.832, time taken 0.277 seconds
Sqrt of 80.0 is 8.944, time taken 0.240 seconds
Sqrt of 82.0 is 9.055, time taken 0.250 seconds
Sqrt of 84.0 is 9.165, time taken 0.260 seconds
Sqrt of 86.0 is 9.274, time taken 0.252 seconds
Sqrt of 88.0 is 9.381, time taken 0.267 seconds
Sqrt of 90.0 is 9.487, time taken 0.260 seconds
Sqrt of 92.0 is 9.592, time taken 0.266 seconds
Sqrt of 94.0 is 9.695, time taken 0.241 seconds
Sqrt of 96.0 is 9.798, time taken 0.246 seconds
Sqrt of 98.0 is 9.899, time taken 0.253 seconds
Sqrt of 100.0 is 10.000, time taken 0.241 seconds
Sqrt of 102.0 is 10.100, time taken 0.242 seconds
Sqrt of 104.0 is 10.198, time taken 0.262 seconds
Sqrt of 106.0 is 10.296, time taken 0.240 seconds
Sqrt of 108.0 is 10.392, time taken 0.305 seconds
Sqrt of 110.0 is 10.488, time taken 0.274 seconds
Sqrt of 112.0 is 10.583, time taken 0.259 seconds
Sqrt of 114.0 is 10.677, time taken 0.282 seconds
Sqrt of 116.0 is 10.770, time taken 0.270 seconds
Sqrt of 118.0 is 10.863, time taken 0.263 seconds
Sqrt of 120.0 is 10.954, time taken 0.286 seconds
Sqrt of 122.0 is 11.045, time taken 0.253 seconds
Sqrt of 124.0 is 11.136, time taken 0.277 seconds
Sqrt of 126.0 is 11.225, time taken 0.269 seconds
Sqrt of 128.0 is 11.314, time taken 0.266 seconds
Sqrt of 130.0 is 11.402, time taken 0.271 seconds
Sqrt of 132.0 is 11.489, time taken 0.264 seconds
Sqrt of 134.0 is 11.576, time taken 0.240 seconds
Sqrt of 136.0 is 11.662, time taken 0.267 seconds
Sqrt of 138.0 is 11.747, time taken 0.313 seconds
Sqrt of 140.0 is 11.832, time taken 0.256 seconds
Sqrt of 142.0 is 11.916, time taken 0.259 seconds
Sqrt of 144.0 is 12.000, time taken 0.283 seconds
